Building Name,CMUBldgAbbrev,MaximoBldgAbbrev,BuildingZone,BuildingZoneSupervisor,CMUBldgCode
Sigma Nu 1057 Morewood Avenue (1057MWD),1057MWD,1057,Housing Zone,TEMANUEL,092
Six PPG Place (PPG6) Leased Property,PPG6,PPG6,N/A,,168
SkyVue Apartments (use for all apartments) 3333 Forbes Ave,3333FRBS,SKYVUE,,,284
Smith Hall (EDSH) 4802 Forbes Avenue,EDSH,SMIT,Forbes Zone,RGIFFEN,018
Software Engineering Institute (SEI) 4500 Fifth Ave.,SEI,SEI,Mellon Zone,RJENKS,024
Spirit House 5170 Margaret Morrison (5170MM),5170MM,SPIR,Housing Zone,TEMANUEL,059
"Sterling Plaza (Leased), 201 N. Craig St.",SP,SP,N/A,,164
Stever House 1030 Morewood Avenue (1030MWD),1030MWD,1030MWD,Housing Zone,TEMANUEL,096
TCS HALL (TCSH) 4665 Forbes Avenue,TCSH,TCSH,Forbes Zone,RGIFFEN,114
Tepper Building (TEP) 4765 Forbes Avenue,TEP,TEP,Forbes Zone,RGIFFEN,112
Warner Hall (WH) 5000 Forbes Avenue,WH,WARN,Forbes Zone,RGIFFEN,005
Wean Hall (WEN) 311 Hamerschlag Drive,WEH,WEAN,West Zone,CERV,012
Webster Hall,WEBAPTS,WEBS,,,212
Welch House,WEL,WELC,Housing Zone,TEMANUEL,056
West Wing 5125 Margaret Morrison (WW),WW,WWING,Housing Zone,TEMANUEL,082
Woodlawn Apartments,WOO,WOOD,Housing Zone,TEMANUEL,063
